Hash;Primer;Domain;Phylym;Class;Order;Family;Genus;Species
f2ff2229273e3bad70a451c88be53a277acbb9f3;18S;Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae;Halocynthia;NA
0a060c4eef4f6d4ac699dfaf28c6da8d9ec7221c;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;Halosiphonaceae;Halosiphon;Halosiphon tomentosus
a2e72aca37404e58a2becfcdb2c1886f343e7806;18S;Eukaryota;Porifera;Demospongiae;Haplosclerida;NA;NA;NA
5945f6f6157677cd53b68b533db94154a93257fa;18S;Eukaryota;Mollusca;Bivalvia;Adapedonta;Hiatellidae;Hiatella;Hiatella arctica
cc778cce9df7fe15a56ebcd8a437c0cfd00a7fc7;18S;Eukaryota;Mollusca;Bivalvia;Adapedonta;Hiatellidae;Hiatella;Hiatella arctica
bb7bbda3248a1bd0c8d5cbabaa8d0f62c46cd919;18S;Eukaryota;Mollusca;Bivalvia;Adapedonta;Hiatellidae;Hiatella;Hiatella arctica
eebcf52d36ef5f572c18d079bc34ad4a381f4b93;18S;Eukaryota;Mollusca;Bivalvia;Adapedonta;Hiatellidae;Hiatella;Hiatella arctica
4ad4c5957856d9a459219e0d2af7f266cc6b092b;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Kornmanniaceae;NA;NA
8b1ae8719185b05caa2b795d6ab2eb31479793b1;18S;Eukaryota;Mollusca;Gastropoda;Littorinimorpha;Lacunidae;Lacuna;NA
faa56c2df17099b1fc065ab145687d3bfa7c65d6;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;NA;NA;NA
d23e106ffeb32e4f846b5ec9a155354865ceba86;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;NA;NA;NA
d0e895de2066b55481e6bb80b96f0ebc31fde850;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;NA;NA;NA
113ba79b39a23660e3496be4808b01712bc8dcdd;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;NA;NA;NA
b0ea3153acf8c1e8454175dd2bf55b3cfc3610e2;18S;Eukaryota;Ochrophyta;Phaeophyceae;Laminariales;NA;NA;NA
