Hash	Domain	Phylum	Class	Order	Family	Genus	Species		
94fcf5fc4fb11fb4a6c899027271300d7fc6cd0a	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Sabellidae	Sabellidae sp. CMC02		
6bbf93c0d1b294df43c21ef0187eb53217215b80	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Compositae	Rhynchosporium	Rhynchosporium orthosporum		
e758aba71a8dd93f613022ce089edb90da99d819	Eukaryota	Rhodophyta	Florideophyceae	Palmariales	Rhodophysemataceae	Rhodophysema	Rhodophysema kjellmanii		
0466946d6a1d49bbf6ec61faa83d18a0eb1d8bf1	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium aphanidermatum		
beec82affbaca835955e54ba2c7c8c2ad10e3b77	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis		
6bb63fbd86cbf6ca49151fc4e477ef832fbc15e7	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	Pylaiella washingtoniensis		
e25e7d37690856f071b10e4c192f9bebd3b24e9a	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales		Pseudopedinella	Pseudopedinella elastica		
830f42aee66eb142de35d8aae25beb921ce5ecb5	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
9e8ebc3a91c96e8b74d89c05d1c8521e36114f85	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
67192877eedca08295d2a1f54cac447b8593e701	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
3a98ecbfbc4b86e982e5234592a40f036e7be850	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
2d2f548d08044f314ee8fa4ca5bc187e4922b21e	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
f353113c4faeab77f91d6f4e106efeea4dd987e2	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
92f928afb7738f95ce762fddd59d1a467c174513	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
99d0c9a7d790e0bb9cf77ee650ade4d376733997	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
8f7c1c8ee02123b22ee51aaacda0b51d058adaa5	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
6561834e9fb5db613017d627bb670884ebde0708	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
5f4bd146a6508fe43b56d46860de6e1a84b7cd48	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
4bbb20d6d36d871c2ea8b68ef6f3d5a72adb83cd	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
ed5f85fbb452560ea5faebb59d8ab86cd9871777	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
679114c2a7fd6c671522fcf7ded751d70ce45979	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
aa8039ec20431e32f8b1ccc1f1c03a761286561d	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
b8d67560c35cfc19442734ea72de3051b7b4d31a	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
0a790f3ba35b8dbeaad6b6f838733e7a4240a4e0	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida			Poecilostomatoida sp. 09PROBE-08068		
76fb95156614e4762f6e90fb0745e9dbbebee427	Eukaryota	Annelida	Polychaeta	Phyllodocida	Pholoidae	Pholoe	Pholoe baltica		
f57cda2fc0d969f97ef2bcb42369dce1e9f9a44f	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
f601b108dab0f1a3f521ef95a3f6715466ae5265	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
e901af9f0ec2342586fe58001be0bd739fc98f12	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
5c9d2157bf5d10d60d984dddfe2d1d7252b972b8	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
21ee7974a32d2471f9cc374d2b5f7dd5cd007175	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
5bb7cfe6d0d80ccf75b4110ddf2f6bb83a59d8c2	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3765360b31fcb53c7364b3e8a1819d1da349fc37	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
999a3a1dd2d6d3065c2d02b5b86542b4cce6b910	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
638f471817d9db98d8ae44b79cefae71c368644a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
c21abc5ceaae24b0bab7554ae8da9f33e45ff5c5	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3ae1b0383484dc25c5814165eb4fc36256f24896	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
232782c8a0b137e94e7b3908122b7b5ba67cb42b	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
af161d812696bb621d92da576277169caacb651a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
8e52e602ae4b6f46e9b8bf6b3b7509c28c73d27a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
cc07a9725381a7889f6dd1be327ec254461bcc24	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
5dd8c8f3e04d3c8999df515e686e7811ba5294ce	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
18e7bc5bf53c82b588046ae6ac5162b955ff5dcc	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
611ac4ddf788e9f446760fa9c7ee77139a0ccfdd	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
4819f4ae219a7f3553bf247ff2864f78cf238583	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
dbba973e00fa7b5cff6efff64a96ca24f881a7c1	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
81f47d25a6516a060e81503b5c9468873b8b915a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3403dd82654236c8207fac66e740baddd3d91a83	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
e8d0521fc7c26d8409ecefb608c6a21e15fb80cf	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
a45285eb1bd9fbd33033ca7f123711e010aa5bdc	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
c095a93b62e08856303fadeaec3e1d69a1e7db80	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
42a7b50e472e1915a46a0ece0bd3fd8456ce1d36	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
60a9cd474d13a09b9cb35ffd76624a899631285e	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
ae894bf4d3680e7754b3c6275787470331dc839b	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
e85d45ff28cd79137b0fec6e1ddb5470c20a0bc2	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
56a7e3ca04245b2dbd25ae606af2aa452064362d	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	Pedospumella	Pedospumella sinomuralis		
6c230098abb0864e369268a14d3e97650dea1959	Eukaryota	Amoebozoa	Discosea	Himatismenida	Himatismenida incertae sedis	Parvamoeba	Parvamoeba rugata		
85d23ef533c88ff87c33f26ba2cbbabda4ab8b61	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus austriacus		
2be97f8b07497efe21b46100c9aa94819c2c9a66	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus austriacus		
937300c8458f4efb449dd6f46c5ede7d767b8d36	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis aculeata		
ded57d102cf711fee8eae661df3d61ea9064e5a7	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis aculeata		
38110eed840db49701b4607d1c31c0db233ccabd	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis aculeata		
019ad336885a031bef76592c5d39b29f79d7934b	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis aculeata		
83028e3732d03da59423374a994b3d821e9f46ec	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
fc8f793d800dde3031001268a9a070cba9ff5e70	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
b8b35203b57e2486c70fc9e622ca8cb071d26d8c	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
db9ad8d6eb78ab8a0f3f682545f25c071adeae24	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
26f6aa8169b15ba02eeba2d3db9b12ac560ef1c6	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
40b151287202828a885e245582f4168330e7411f	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis		
8a6aaec2f0803106613df91ee79911ada3f9cfb4	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Obelia	Obelia longissima		
e9c5645ba2e499ca6d52134fb25f774349fa1517	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	Nannochloris sp. MBTD-CMFRI-S048		
29f5044fed4332a1a73ee1464d1d9f4d61a7ef4d	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	Nannochloris sp. MBTD-CMFRI-S048		
5ae1341da7ed3b29f88201563c85b12b0112a65a	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
44041f7c4fda6216593bab996188e54faf98759b	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
766894cdca3688adb22a1e47eb059eee9ca69ff8	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
ca554b882889857c63942f1d5f176f4e43aa725e	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
1b07b3658b507222f1ea945fafa08fe3490f0cff	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
009155550a1d755e51f5c38dfdde8749f68fe7be	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
3e67df8555508650c7664d26cea1e45c82c0b74a	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
8e6bd1c96c0bd5547f485e7fff9fbac544ab8875	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus		
ba8a4991948216d302b41a27177b497d72211fbd	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Microspongium	Microspongium alariae		
5d3cc7604909cfe21259e90f073101a5358f4ac8	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Microspongium	Microspongium alariae		
a64ab751b69ad1c2dc45814951dd0b3fce5c88aa	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
252339104f42cd440e247a39bc4f04eecc6492e7	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
51e9b4edf20079169560eee3c351076206a33adf	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
941c7c8cd8ea2c81ebb6438275f62634ce38787e	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
05a1e91fa27e632886b8fe425eefea9e99f44c2e	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
8da9234004e28481b920ff022b4f8df39056cabe	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
0a6c8b76945dd3f56fdb0d379e1158553068d008	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
b4a9687f16b59883d8ce49aa18e0eb6e901b86b5	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
608fa66ff579dda6f3fa98518f2f7c27771ce3c4	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
2d04c4564cb421be06deaf612c73172668ad6aec	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
7ed257b4a7aeab9c7215d60d1598893c4fc8487b	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
87dac8d9dfc44827a965a48547b78b4ca9e2e912	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
f6ba35991755562baefa9836f9bd3c3254d3597b	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
6ee4f70ea382acde6c46379d892c87fed5462e0d	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
243dcf5508ed843e1a66deab1a2bcf280aa9973b	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
3542e556c4ef051b029fe07cb06b92647b0f5e62	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
23ca4d9ac741e1e435e49e101e54112809a22850	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
76290c6fcd8799a2870df53865dd9b7bc33a84d4	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
c520d92cb433e8695aa695ef48906d0051e3cc10	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
d2c1fa34f610f773625f709d20ce671c59d36af4	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
d32ca07b3eb160b9aa54ecf916bf28db32ad92f4	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
d8afcf6220a21c9b8baa6dfbbcd81ec0eb6fe989	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
1b3f7f36da43e6521447a142333684360c0413c5	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
f704820ca84ee62e780cbb434429c8db58a195d7	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
2fff43374fcf071b7422d3a08054a41f44b174e7	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
fd1a0ca1bb562b3e31f72d87e8a7002b97c452e9	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
f3fff54c3813076f9e9c0105bc3df21d05245a85	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla		
b31432b7d63b5fa12be7ee7e555f9bb2e79b0d58	Eukaryota	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium polykrikoides		
2f84b05f85dcc721ca7df80201cecac9471e5a66	Eukaryota	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium polykrikoides		
0f8cc9d6bd90a4b97b0d7c5aa02b29b409a1c269	Eukaryota	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium polykrikoides		
9d08ca8e9fb1d98d7b30bf91bdf8ae370aa3c06b	Eukaryota	Mollusca	Bivalvia	Veneroida	Tellinidae	Macoma	Macoma calcarea		
5a092fff8e15d2e03dfda136eb23e8b627dc8f0d	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis <bony fishes>	Liparis liparis		
f8c997e515f165b6df202c109d1fe910c8ca1c07	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta		
7941f45ea6108d70ae44961b2fd562378762dba1	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta		
3a71009e22fbc4771df29184d16df02469184448	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta		
10138d99c8356809fd638f3f6c8b7d2ff6dbf70d	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta		
9c182947d747dc2f073130ef20442117158d2332	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta		
e2fe7f78cb0732d07eb7dac0725cd4adbba54ae7	Eukaryota	Arthropoda	Malacostraca	Decapoda	Majidae	Hyas	Hyas araneus		
cbc6c01e2f7b268c8548da633e73da71ad227116	Eukaryota	Arthropoda	Malacostraca	Decapoda	Majidae	Hyas	Hyas araneus		
9ebd0bcbae3f4ee1f10ba13d858e85af17744e67	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens		
a53a16c3d1a8e34f651a1d67d298d418c139f0f0	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens		
e72e921478363ab0f84810df5c784d8c2625e4b5	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens		
a46694220b0d1b679f6c2ef45da3b40586450f68	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Hiatella	Hiatella sp. K HML-2015		
54c8fb960f0626900521cad65e64b09a30fb59aa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Hiatella	Hiatella sp. K HML-2015		
